lon,lat,course,timestamp,speed,seg_id,timestamp_destination,lon_destination,lat_destination
51.1225166667,73.4408833333,210.6999969482,2017-02-01 02:03:28+00:00,9.5,273133200-2017-01-05T09:26:55.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
45.2391,70.2916333333,209.0,2017-02-02 00:27:10+00:00,9.3000001907,273133200-2017-01-05T09:26:55.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
44.3508833333,69.71095,67.0,2017-02-03 02:42:23+00:00,1.2000000477,273133200-2017-01-05T09:26:55.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
42.2851666667,68.5768166667,234.3000030518,2017-02-04 01:36:38+00:00,13.0,273133200-2017-01-05T09:26:55.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
37.49835,66.0605833333,284.6000061035,2017-02-05 00:29:29+00:00,10.6999998093,273133200-2017-01-05T09:26:55.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
32.4070166667,67.1363,76.0999984741,2017-02-08 00:32:02+00:00,0.0,273133200-2017-02-08T00:32:02.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
35.5844,66.2565333333,115.5,2017-02-09 07:53:00+00:00,9.6000003815,273133200-2017-02-08T00:32:02.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
40.9142833333,66.4720666667,30.3999996185,2017-02-10 00:00:43+00:00,6.8000001907,273133200-2017-02-08T00:32:02.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
36.7013533333,69.2060833333,312.700012207,2017-02-11 03:39:48+00:00,7.1999998093,273133200-2017-02-08T00:32:02.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
33.03658333333333,69.01395,288.9,2017-02-12 01:10:17+00:00,0.0,273133200-2017-02-08T00:32:02.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
33.041246666666666,69.01263,158.4,2017-02-13 01:05:17+00:00,0.0,273133200-2017-02-08T00:32:02.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
33.0380666667,69.01305,143.3999938965,2017-02-14 00:46:39+00:00,0.1000000015,273133200-2017-02-08T00:32:02.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
33.0336666667,69.0130166667,92.5,2017-02-15 01:04:40+00:00,0.0,273133200-2017-02-08T00:32:02.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
33.0367,69.01395,349.8999938965,2017-02-16 00:10:45+00:00,0.0,273133200-2017-02-08T00:32:02.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
32.1057666667,70.6898833333,326.0,2017-02-17 00:38:11+00:00,8.6000003815,273133200-2017-02-08T00:32:02.000000Z-1,2018-05-15 11:44:03+00:00,3.1027,52.2954666667
